,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien
6,Corsair CMH32GX5M2B5200C40 16GB,46,19.1,16.1,$309.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B5200C40+16GB&id=19422
7,Corsair CMH32GX5M2B5600C36 16GB,43,20.2,17.0,$329.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B5600C36+16GB&id=19413
8,Corsair CMH32GX5M2B5600C40 16GB,45,19.0,16.1,$349.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B5600C40+16GB&id=19837
9,Corsair CMH32GX5M2B6000C40 16GB,42,21.7,17.1,$399.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B6000C40+16GB&id=19698
10,Corsair CMH32GX5M2B6200C36 16GB,38,23.5,20.5,$469.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B6200C36+16GB&id=19661
11,Corsair CMK32GX5M2A4800C40 16GB,41,16.8,14.5,$339.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX5M2A4800C40+16GB&id=18102
12,Corsair CMK32GX5M2B5200C40 16GB,41,17.9,15.1,$289.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX5M2B5200C40+16GB&id=18097
13,Corsair CMK32GX5M2B5600C36 16GB,39,18.7,16.0,$319.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX5M2B5600C36+16GB&id=18149
21,Corsair CMK64GX5M2B5200C40 32GB,43,18.3,16.2,$479.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX5M2B5200C40+32GB&id=18151
22,Corsair CMK64GX5M2B5600C40 32GB,43,20.6,17.7,$634.99,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX5M2B5600C40+32GB&id=18871
24,Corsair CMT32GX5M2B5200C40 16GB,39,17.5,14.8,$359.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX5M2B5200C40+16GB&id=18109
25,Corsair CMT32GX5M2B5600C36 16GB,40,19.7,16.6,$359.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX5M2B5600C36+16GB&id=18255
26,Corsair CMT32GX5M2X5600C36 16GB,33,17.1,14.8,$429.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX5M2X5600C36+16GB&id=18112
28,Corsair CMT32GX5M2X6200C36 16GB,40,20.4,17.2,$599.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX5M2X6200C36+16GB&id=18223
32,Corsair CMT64GX5M2B5200C40 32GB,45,18.6,16.6,$799.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT64GX5M2B5200C40+32GB&id=18147
35,Crucial Technology CT16G48C40U5.M8A1 16GB,45,17.5,15.0,$111.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G48C40U5.M8A1+16GB&id=18096
42,G Skill Intl F5-5600J3636C16G 16GB,44,19.7,16.3,$359.00,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F5-5600J3636C16G+16GB&id=18374
43,G Skill Intl F5-5600J3636D32G 32GB,44,20.2,17.4,$957.98*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F5-5600J3636D32G+32GB&id=19037
44,G Skill Intl F5-5600J4040C16G 16GB,26,16.3,14.5,$359.00,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F5-5600J4040C16G+16GB&id=18366
45,G Skill Intl F5-5600U3636C16G 16GB,30,15.6,13.8,$499.00*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F5-5600U3636C16G+16GB&id=18113
47,G Skill Intl F5-6000J3040G32G 32GB,38,21.9,19.2,$965.98,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F5-6000J3040G32G+32GB&id=19775
49,G Skill Intl F5-6000J3636F16G 16GB,39,19.0,16.3,$399.00,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F5-6000J3636F16G+16GB&id=18106
50,G Skill Intl F5-6000J4040F16G 16GB,39,19.0,16.1,$539.00,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F5-6000J4040F16G+16GB&id=18176
51,G Skill Intl F5-6000U3636E16G 16GB,33,19.6,16.5,$649.00*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F5-6000U3636E16G+16GB&id=18140
52,G Skill Intl F5-6000U4040E16G 16GB,38,18.2,15.2,$699.00,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F5-6000U4040E16G+16GB&id=18296
53,G Skill Intl F5-6400J3239G16G 16GB,38,21.2,18.0,$449.00,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F5-6400J3239G16G+16GB&id=18221
57,GIGA - BYTE Technology Co Ltd ARS32G60D5R 16GB,45,21.5,17.3,$629.00,https://www.memorybenchmark.net/ram.php?ram=GIGA+-+BYTE+Technology+Co+Ltd+ARS32G60D5R+16GB&id=19085
58,GIGA - BYTE Technology Co Ltd GP-ARS32G52D5 16GB,42,18.4,15.4,$389.00,https://www.memorybenchmark.net/ram.php?ram=GIGA+-+BYTE+Technology+Co+Ltd+GP-ARS32G52D5+16GB&id=18247
